Equipment Number,Part,Date,Start Time,Finish Time,Stopped Time(min),Stopped Time(hour),Cause of Failure,Failure Handling,MTTR,MTBF,Failure Strength Ratio,Price Weighting by Part,Risk Likelihood,Risk Impact
Unit 5,fuller,08/24,16:15:00,16:40:00,25,0.42,Puller rail worn area,Grinding work with a grinder,1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,08/24,15:00:00,15:45:00,45,0.75,Puller rail worn area,Grinding work with a grinder,1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,08/25,08:45:00,10:30:00,105,1.75,Fully in the middle of automatic operation,Check for stoppage phenomenon,1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,08/25,11:30:00,12:00:00,30,0.5,Fully in the middle of automatic operation,Check for stoppage phenomenon,1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,08/25,12:00:00,16:30:00,270,4.5,Fully in the middle of automatic operation,Stop operation track maintenance,1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,09/24,16:15:00,16:50:00,35,0.58,Puller tray pullet bending,Corrective action after disadvantage,0.53,82.9,0.64,0.09,4,1.095611574
Unit 5,fuller,09/24,16:15:00,16:50:00,35,0.6,Full ply bending,Full ply bending correction work,0.68,36.8,1.84,0.09,9.010869565,1.109111574
Unit 5,fuller,10/27,04:50:00,06:15:00,85,1.4,puller wire shear,Puller wire shear replacement,1.78,67,2.65,0.09,3.998507463,1.208111574
Unit 5,fuller,08/29,20:40:00,21:40:00,60,1,Wing bending phenomenon,Correction work on the relevant area,8.54,46.9,2.18,0.09,5.997654584,1.816511574
Unit 5,Hasso,03/10,07:30:00,12:30:00,300,5,Hot show up down silinda,Replacing an old furnace,1.26,58.8,2.14,0.1,6.994217687,1.290346193
Unit 5,Hasso,07/01,14:00:00,14:15:00,15,0.25,HOT SAW CLAMP,Sensor S/W disconnection wiring replacement work,1.88,72.5,2.6,0.1,4.998344828,1.352346193
Unit 5,back side,06/24,11:45:00,14:00:00,135,2.25,Stecka Gantry Sangha Mota,Burnout replacement work,0.86,92.9,0.92,0.15,4.001829925,1.87551929
Unit 5,back side,06/27,09:00:00,09:10:00,10,0.17,END SAW PLC CP TRIP,Normal operation after return,0.86,92.9,0.92,0.15,4.001829925,1.87551929
Unit 5,back side,07/11,08:30:00,09:30:00,60,1,SAW FEED conveyor,UP/DOWN solenoid replacement,1.88,72.5,2.6,0.15,4.998344828,2.02851929
Unit 5,back side,08/25,16:30:00,17:30:00,60,1,Before and after Stretcha Powerhead,True non-jaw down brush wiring disconnection,1.05,13.5,7.74,0.15,20.05185185,1.90401929
Unit 5,back side,08/08,20:50:00,21:05:00,15,0.25,TAIL HEAD IN FEED V/T UP/DOWN does not work,Tightening and readjusting the proximity sensor by loosening the JAW cylinder rod,1.05,13.5,7.74,0.15,20.05185185,1.90401929
Unit 5,back side,08/15,21:30:00,21:50:00,20,0.33,T.H monitor turns off frequently,monitor replacement,1.05,13.5,7.74,0.15,20.05185185,1.90401929
Unit 5,back side,08/18,09:00:00,09:30:00,30,0.5,TAIL HEAD IN FEED V/T operation not possible,"IN FEED V/T MOTOR is caught when moving forward/reverse, and inspection and repair of connector wiring disconnection.",1.05,13.5,7.74,0.15,20.05185185,1.90401929
Unit 5,back side,08/05,06:30:00,06:40:00,10,0.17,Request for replacement due to damage to Jjoldae C/V counting sensor,BUP-50S (1EA) replacement work,1.05,13.5,7.74,0.15,20.05185185,1.90401929
Unit 5,back side,09/06,13:30:00,13:50:00,20,0.33,Braces Powerhead Jaw Seal,Linda Peking replacement work,0.53,82.9,0.64,0.15,4,1.82601929
Unit 5,back side,09/06,12:30:00,13:50:00,80,1.3,Straightener power head cylinder air leak,Replacement of crude cylinder air leak packing,0.68,36.8,1.84,0.15,9.010869565,1.84851929
Unit 5,back side,11/08,21:10:00,22:45:00,95,1.6,Pusher bearing damaged and sensor touch bar damaged,Replacement of damaged pusher bearing and welding repair of damaged sensor touch bar,2.05,172.9,1.19,0.15,2,2.05401929
Unit 5,back side,11/08,15:00:00,17:30:00,150,2.5,Hot saw cylinder damage,Hot saw cylinder damage replacement,2.05,172.9,1.19,0.15,2,2.05401929
Unit 5,back side,08/13,08:50:00,09:20:00,30,0.5,Straightener infeed belt cannot be driven,Fuller guide correction work,8.54,46.9,2.18,0.15,5.997654584,3.02751929
Unit 5,back side,09/12,02:30:00,05:00:00,150,2.5,Cutter cannot move forward or backward,"Pipe repair and filter cleaning after disassembling the relevant area
Drain relief adjustment / saw blade lowering position downward adjustment",8.61,71.9,1.36,0.15,3.99930459,3.03801929
Unit 5,back side,09/12,20:50:00,21:50:00,60,1,Straightener cylinder bolt loosened,Tightening work on loosened parts,8.61,71.9,1.36,0.15,3.99930459,3.03801929
Unit 5,back side,09/27,13:45:00,14:05:00,20,0.33,Braces jaw up and down not possible,Sensor bracket welding work and sensor position correction,8.61,71.9,1.36,0.15,3.99930459,3.03801929
Unit 5,back side,10/21,12:00:00,12:10:00,10,0.17,Power head sensor damaged,PRDL18-14DN Replacement,7.88,43.6,1.01,0.15,5.995642202,2.92851929
Unit 5,back side,10/29,20:30:00,20:45:00,15,0.25,Braces power head not working,Damaged clamp sensor PR18-14DN replacement,7.88,43.6,1.01,0.15,5.995642202,2.92851929
Unit 5,back side,11/04,05:00:00,06:15:00,75,1.25,Cutter drive shaft slip,"Drive shaft slip occurs
 - Assemble the coupling after welding the shaft",4.94,38.9,6.52,0.15,7.995115681,2.48751929
Unit 5,back side,11/13,03:40:00,04:00:00,20,0.33,Gauge head forward/reverse operation not possible,Temporary measure taken as one of two gauge head clamping devices is inoperable,4.94,38.9,6.52,0.15,7.995115681,2.48751929
Unit 5,etc,09/12,22:30:00,23:00:00,30,0.5,Inspection request due to inability to increase temperature,Normal operation after replacement due to MC225B deterioration,0.68,36.8,1.84,0.06,9.010869565,0.739407716
Unit 6,extruder,01/28,20:30:00,20:45:00,15,0.3,Dieslide proximity sensor,Burnout replacement work,0.56,59.1,0.95,0.35,4.998815567,4.271211677
Unit 6,extruder,01/28,05:30:00,06:10:00,40,0.7,Container Sealing Pump Jaws,Temporary measures for carpooler damage,0.56,59.1,0.95,0.35,4.998815567,4.271211677
Unit 6,extruder,02/19,13:40:00,16:40:00,180,3,Oil cooler coolant pump,Bearing and seal replacement work,1.25,75.8,1.65,0.35,3.999076517,4.512711677
Unit 6,extruder,02/19,10:45:00,10:55:00,10,0.2,No. 2 main pump pull lug,Oil leak O-ring replacement work,1.25,75.8,1.65,0.35,3.999076517,4.512711677
Unit 6,extruder,03/01,14:10:00,14:30:00,20,0.3,No container sealing pressure,Due to poor operation of the op panel,1.12,64.5,1.73,0.35,6.002170543,4.467211677
Unit 6,extruder,03/10,06:10:00,07:00:00,50,0.8,Main advance no,Normal after fuse holder replacement,1.12,64.5,1.73,0.35,6.002170543,4.467211677
Unit 6,extruder,04/25,09:15:00,09:30:00,15,0.2,Main pump not operating,Replacement due to servo valve oil contamination,0.73,66.1,1.1,0.35,4.000453858,4.330711677
Unit 6,extruder,04/27,09:00:00,09:35:00,35,0.6,Container sealing relief valve,Replace oil leak due to body crack,0.73,66.1,1.1,0.35,4.000453858,4.330711677
Unit 6,extruder,05/12,07:10:00,08:30:00,80,1.3,Main pump No. 1 flash hose leak,O-ring replacement after disassembly,1.22,23.4,5.22,0.35,9.00982906,4.502211677
Unit 6,extruder,05/17,07:20:00,08:30:00,70,1.2,Billet loader operation error,Relief valve decontamination operation,1.22,23.4,5.22,0.35,9.00982906,4.502211677
Unit 6,extruder,05/18,05:20:00,06:10:00,50,0.8,Sealing pipe leak,Welding of pipe cracks,1.22,23.4,5.22,0.35,9.00982906,4.502211677
Unit 6,extruder,05/27,21:10:00,22:30:00,80,1.3,Pilot pipe crack leak,Welding work after disassembly,1.22,23.4,5.22,0.35,9.00982906,4.502211677
Unit 6,extruder,05/30,13:30:00,16:50:00,200,3.3,Stem Shear To Spare Parts,Replace operation with,1.22,23.4,5.22,0.35,9.00982906,4.502211677
Unit 6,extruder,06/09,19:00:00,22:40:00,220,3.7,Billet rodaped damaged,Assemble after calibrating the pad,1.73,65.5,2.63,0.35,4.000916031,4.680711677
Unit 6,extruder,06/13,13:50:00,14:40:00,50,0.8,Container sealing pressure low,Relief valve pressure adjustment operation,1.73,65.5,2.63,0.35,4.000916031,4.680711677
Unit 6,extruder,07/25,22:20:00,22:50:00,30,0.5,Main side pressure rise,No operation due to deterioration,2.07,68.3,3.03,0.35,3.000439239,4.799711677
Unit 6,extruder,09/05,21:30:00,23:35:00,125,2.1,Billet auxiliary load,peking maintenance,3.87,49.6,7.79,0.35,6.002016129,5.429711677
Unit 6,extruder,09/07,18:10:00,20:30:00,140,2.3,Extrusion Pilot Pump,Oil cooler oil leak replacement work,3.87,49.6,7.79,0.35,6.002016129,5.429711677
Unit 6,extruder,09/21,13:30:00,17:30:00,240,4,Purchase a kit for Ox pump or higher,After replacement test run,3.87,49.6,7.79,0.35,6.002016129,5.429711677
Unit 6,extruder,09/22,08:30:00,19:00:00,630,10.5,Billet Roda Hinge Bush,Replacement and calibration work,3.87,49.6,7.79,0.35,6.002016129,5.429711677
Unit 6,extruder,09/06,20:50:00,23:35:00,165,2.8,Auxiliary loader cylinder piston broken,Auxiliary loader cylinder piston damage replacement and repair (lack of pallet),2.53,16.5,15.28,0.35,18.04242424,4.960711677
Unit 6,extruder,09/07,05:35:00,06:20:00,45,0.8,Request inspection with container heater (heater side) wiring SHORT,Replaced SCR UNIT T-phase fuse carpet after taping and re-fixing due to poor container heater wiring insulation.,2.53,16.5,15.28,0.35,18.04242424,4.960711677
Unit 6,extruder,09/21,13:30:00,17:30:00,240,4,Pyrot pump discharge error,Replace the pump kit due to defective discharge of the rotary pump (No. 32),2.53,16.5,15.28,0.35,18.04242424,4.960711677
Unit 6,extruder,09/22,08:30:00,19:00:00,630,10.5,Loader shaft bushing broken,Damaged loader shaft bushing replacement,2.53,16.5,15.28,0.35,18.04242424,4.960711677
Unit 6,extruder,10/08,08:30:00,08:50:00,20,0.3,Inspection request due to container heater temperature not rising,FUSE “T phase” replacement work,0.36,57.4,0.63,0.35,4.99825784,4.201211677
Unit 6,extruder,10/21,01:40:00,01:50:00,10,0.2,OP panel extrusion CYCLE START PB S/W replacement request,CYCLE START PB S/W (KH-513) replacement,0.36,57.4,0.63,0.35,4.99825784,4.201211677
Unit 6,extruder,10/07,19:44:00,20:00:00,16,0.3,Inspection request due to drop in container heater temperature,Replaced 2EA due to fuse burnout.,0.36,57.4,0.63,0.35,4.99825784,4.201211677
Unit 6,extruder,10/18,18:50:00,19:20:00,30,0.5,Computer pc breaker trip,Earth leakage circuit breaker for computer system in power supply room is restored,0.36,57.4,0.63,0.35,4.99825784,4.201211677
Unit 6,extruder,11/05,12:00:00,12:30:00,30,0.5,Main pump not working properly,Main pump does not work properly. Operate after inspection.,0.5,336.7,0.15,0.35,1,4.250211677
Unit 6,extruder,08/11,13:30:00,14:20:00,50,0.8,Main reverse valve orifice is clogged,Orifice cleaning,4.93,28.4,5.93,0.35,10.9806338,5.800711677
Unit 6,extruder,08/26,08:50:00,10:00:00,70,1.2,Hydraulic pump malfunction,Hydraulic pump replacement,4.93,28.4,5.93,0.35,10.9806338,5.800711677
Unit 6,extruder,08/29,22:00:00,08:30:00,410,6.8,Main ram reverse operation not possible,Main RAM maintenance in 2 stages,4.93,28.4,5.93,0.35,10.9806338,5.800711677
Unit 6,extruder,09/11,09:10:00,09:25:00,15,0.3,Main ram cannot move forward or backward,"Orifice disassembled and cleaned, normal operation",3.92,44.5,1.61,0.35,5.99752809,5.447211677
Unit 6,extruder,09/29,03:50:00,04:35:00,45,0.7,Main ram reverse operation not working,Reverse volume valve cleaning work,3.92,44.5,1.61,0.35,5.99752809,5.447211677
Unit 6,extruder,09/30,18:10:00,19:30:00,80,1.3,Side cylinder leak,Side cylinder oil packing replacement work,3.92,44.5,1.61,0.35,5.99752809,5.447211677
Unit 6,extruder,11/19,09:00:00,12:00:00,170,2.8,Side cylinder leak,Welding work on damaged pipes,21.28,246.8,1.13,0.35,0.999837925,11.52321168
Unit 6,heating furnace,02/11,08:30:00,10:00:00,90,1.5,Natural motor explosion proof box,Test run after installation,1.25,75.8,1.65,0.25,3.999076517,3.223365483
Unit 6,heating furnace,02/19,11:45:00,12:05:00,20,0.3,Pushback cylinder oil leak,Replaced with Silinda spare part,1.25,75.8,1.65,0.25,3.999076517,3.223365483
Unit 6,heating furnace,03/05,22:00:00,23:00:00,60,1,No before or after Pusha,Poor solenoid valve contact,1.12,64.5,1.73,0.25,6.002170543,3.190865483
Unit 6,heating furnace,03/12,02:21:00,03:10:00,49,0.8,Billet not moving forward,Pressure switch error adjustment work,1.12,64.5,1.73,0.25,6.002170543,3.190865483
Unit 6,heating furnace,03/15,20:30:00,23:50:00,200,3.3,Billet heating furnace type 1~2,Replace damaged insulator with spare part,1.12,64.5,1.73,0.25,6.002170543,3.190865483
Unit 6,heating furnace,05/03,04:00:00,04:30:00,30,0.5,Delay in purge completion due to billet heating,Confirmation of delay due to low gas pressure,1.22,23.4,5.22,0.25,9.00982906,3.215865483
Unit 6,heating furnace,05/03,01:30:00,02:00:00,30,0.5,Billet temperature deviation,Normal after replacing probe insulator,1.22,23.4,5.22,0.25,9.00982906,3.215865483
Unit 6,heating furnace,05/23,08:30:00,09:14:00,44,0.7,Logsha Ejector Cylinder,Replacement of motion detection sensor,1.22,23.4,5.22,0.25,9.00982906,3.215865483
Unit 6,heating furnace,06/21,08:50:00,09:30:00,40,0.7,HOT JAT FAN M/M,Ring gauge deviation correction work,1.73,65.5,2.63,0.25,4.000916031,3.343365483
Unit 6,heating furnace,07/27,15:40:00,19:00:00,200,3.3,Billet heating furnace PLC alarm,PLC card cleaning and output card replacement,2.07,68.3,3.03,0.25,3.000439239,3.428365483
Unit 6,heating furnace,07/28,22:36:00,01:00:00,144,2.4,Billet heating furnace PLC alarm,Occurrence clearing operation,2.07,68.3,3.03,0.25,3.000439239,3.428365483
Unit 6,heating furnace,08/05,07:00:00,08:20:00,80,1.3,DOOR exit side IP5200 SOL replacement,Hotjet Fan Temperature Signal Converter Delta I/O Replacement,1,10.2,9.79,0.25,24.94117647,3.160865483
Unit 6,heating furnace,08/08,18:30:00,19:00:00,30,0.5,Impossible to operate due to burnout of MC for operating power,Normal operation after replacement of MC-40A 110V,1,10.2,9.79,0.25,24.94117647,3.160865483
Unit 6,heating furnace,08/08,11:30:00,12:30:00,60,1,Zone#2 Ignition not possible,PLC output card FTU-266B replacement,1,10.2,9.79,0.25,24.94117647,3.160865483
Unit 6,heating furnace,08/09,12:30:00,13:30:00,60,1,Pushback cylinder rod leak,Cylinder rod oil leak replacement,1,10.2,9.79,0.25,24.94117647,3.160865483
Unit 6,heating furnace,08/25,00:30:00,01:30:00,60,1,Pushback cylinder rod leak,Cylinder rod oil leak replacement,1,10.2,9.79,0.25,24.94117647,3.160865483
Unit 6,heating furnace,08/31,08:10:00,10:00:00,110,1.8,Explosion sound when main gas ignition in heating furnace,Check Hotjet Fan M/M operation,1,10.2,9.79,0.25,24.94117647,3.160865483
Unit 6,heating furnace,09/02,02:30:00,02:50:00,20,0.3,Logsha Cradle UP-DOWN,Detection sensor replacement work,3.87,49.6,7.79,0.25,6.002016129,3.878365483
Unit 6,heating furnace,09/29,20:30:00,20:40:00,10,0.2,ZONE#1 Pilot wire disconnection does not ignite,Normal operation after wiring connection,2.53,16.5,15.28,0.25,18.04242424,3.543365483
Unit 6,heating furnace,09/02,02:30:00,02:50:00,20,0.3,Request for replacement due to deterioration of cradle UP/DOWN detection sensor,PRT18-5DO(2EA) replacement,2.53,16.5,15.28,0.25,18.04242424,3.543365483
Unit 6,heating furnace,10/31,12:10:00,12:40:00,30,0.5,"ZONE#2 Thermocouple is bent, requesting repairs","Thermocouple calibration work, 2-hole insulator replacement.",0.36,57.4,0.63,0.25,4.99825784,3.000865483
Unit 6,heating furnace,08/12,00:00:00,00:25:00,25,0.4,Probe zone#2 cannot move forward or backward,Cylinder replacement and connection welding work,4.93,28.4,5.93,0.25,10.9806338,4.143365483
Unit 6,heating furnace,08/25,08:15:00,08:35:00,20,0.3,Check for temperature abnormalities,Scr fuse T phase replacement,4.93,28.4,5.93,0.25,10.9806338,4.143365483
Unit 6,fuller,01/23,08:30:00,09:45:00,75,1.3,puller wire rope burnout,Wire rope replacement work,0.56,59.1,0.95,0.09,4.998815567,1.098311574
Unit 6,fuller,08/20,12:00:00,15:21:00,201,3.4,Fulla reducer bearing damage,bearing replacement,1,10.2,9.79,0.09,24.94117647,1.137911574
Unit 6,fuller,08/29,21:10:00,23:40:00,150,2.5,Pull the wheel off,bearing replacement,1,10.2,9.79,0.09,24.94117647,1.137911574
Unit 6,fuller,09/07,10:00:00,12:25:00,145,2.4,Request for removal of motor wiring due to repair of hydraulic unit of machine tool,Check wiring removal and test run. Load current 4~5A,2.53,16.5,15.28,0.09,18.04242424,1.275611574
Unit 6,fuller,08/05,05:00:00,07:10:00,90,1.5,Puller wire breakage,Wire replacement work,4.93,28.4,5.93,0.09,10.9806338,1.491611574
Unit 6,fuller,08/18,14:24:00,16:00:00,96,1.6,Puller stops during reverse deceleration,PLC monitor check and overheat alarm release,4.93,28.4,5.93,0.09,10.9806338,1.491611574
Unit 6,fuller,08/20,05:40:00,06:15:00,35,0.6,Puller not working,Normal operation after restoration of circuit breaker with circuit breaker trip,4.93,28.4,5.93,0.09,10.9806338,1.491611574
Unit 6,fuller,10/18,07:15:00,07:35:00,20,0.3,The distance value on the OP panel side is abnormal.,Encoder coupling is not fixed. Fixed.,18.39,164.4,0.61,0.09,1.997627737,2.703011574
Unit 6,Hasso,03/31,08:50:00,09:20:00,30,0.5,HOT SAW BELT Shear,Belt replacement work,1.12,64.5,1.73,0.1,6.002170543,1.276346193
Unit 6,back side,01/06,21:40:00,21:55:00,15,0.3,Strezza PLC Alarm,Normal after power ON/OFF repeated operation,0.56,59.1,0.95,0.15,4.998815567,1.83051929
Unit 6,back side,01/07,02:12:00,02:25:00,13,0.2,Space Bar Supply C/V,Normal after replacing the error horseshoe sensor,0.56,59.1,0.95,0.15,4.998815567,1.83051929
Unit 6,back side,04/02,03:50:00,04:55:00,65,1.1,Stecca Logistics Conveyor UP/,DOWON,0.73,66.1,1.1,0.15,4.000453858,1.85601929
Unit 6,back side,04/06,10:00:00,11:00:00,60,1,Gauge head brake slip,Brake adjustment work,0.73,66.1,1.1,0.15,4.000453858,1.85601929
Unit 6,back side,05/30,19:05:00,20:30:00,85,1.4,Powerhead drive bearing,Damaged replacement work,1.22,23.4,5.22,0.15,9.00982906,1.92951929
Unit 6,back side,06/13,10:00:00,11:40:00,100,1.7,End SAW Clamp Cylinder,Not working Adjustment work,1.73,65.5,2.63,0.15,4.000916031,2.00601929
Unit 6,back side,08/09,14:50:00,17:15:00,145,2.4,Hendring hydraulic unit loading,Replacement work after checking the solenoid,1,10.2,9.79,0.15,24.94117647,1.89651929
Unit 6,back side,08/29,18:00:00,18:30:00,30,0.5,RUN OUT C/V not running,Inverter error Replace with new product,1,10.2,9.79,0.15,24.94117647,1.89651929
Unit 6,back side,08/24,03:50:00,04:05:00,15,0.2,Saw Feed C/V operation not possible,Inverter Error reset,1,10.2,9.79,0.15,24.94117647,1.89651929
Unit 6,back side,09/02,22:00:00,22:10:00,10,0.2,Jjoldae C/V operates at low speed during automatic operation.,Normal operation after removing foreign substances,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/03,07:20:00,08:10:00,50,0.8,Gauge head origin stop detection sensor replaced due to damage.,PRL30-15DN (1EA) replacement,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/08,18:10:00,12:30:00,1100,18.3,Damaged hydraulic unit service tank cooler.,Hydraulic unit service tank cooler damage installation work,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/21,03:00:00,03:20:00,20,0.3,Request for inspection as jjoldae is not discharged,AIR SOL V/V operates normally after cleaning the spool.,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/20,02:00:00,02:15:00,15,0.3,Gauge head forward/reverse operation not possible,MOTOR belt tension adjustment,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/07,09:30:00,11:00:00,90,1.5,Replacement work for old HOT SAW cable bear,Cable bear 3M replacement work,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/24,02:00:00,02:15:00,15,0.3,Only half of the monitor is visible.,Monitor and cable need replacement,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/23,11:30:00,12:10:00,40,0.7,Check due to poor SPACE-BAR input,SPACE-BAR DROP device AIR SOL replaced due to defective,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/29,13:55:00,14:35:00,40,0.7,GANTRY T/V pushing phenomenon when forward/backward motion stops,GANTRY T/V forward/backward motion motor B/K replaced due to pad wear,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,09/22,23:30:00,00:35:00,65,1.1,Inspection request due to STACKER ELEVATOR UP not working,Normal operation after emergency S/W release,2.53,16.5,15.28,0.15,18.04242424,2.12601929
Unit 6,back side,08/04,09:00:00,12:14:00,194,3.2,Check internal burnout of Steca GENTRY T/V inverter,"GENTRY T/V replacement and motor pad replacement,
Forward/backward sensor position adjustment",4.93,28.4,5.93,0.15,10.9806338,2.48601929
Unit 6,back side,08/11,22:00:00,00:00:00,39,0.7,GANTRY T/V Slow does not operate,Normal operation after changing the inverter SLOW input position,4.93,28.4,5.93,0.15,10.9806338,2.48601929
Unit 6,back side,08/14,04:10:00,05:30:00,80,1.3,Runout C/V roller jamming phenomenon,Normal operation after removal of roller jamming area,4.93,28.4,5.93,0.15,10.9806338,2.48601929
Unit 6,back side,09/11,09:00:00,09:45:00,45,0.8,Cutter gauge head not working,Head operates normally after the gauge conveyor rises and falls.,3.92,44.5,1.61,0.15,5.99752809,2.33451929
Unit 6,back side,09/12,07:00:00,07:21:00,21,0.3,Transbear switch rod damaged,Welding work on damaged areas,3.92,44.5,1.61,0.15,5.99752809,2.33451929
Unit 6,back side,10/20,19:00:00,20:40:00,100,1.7,"Cutting machine saw blade fixed axis
Bearing damage",Damaged bearing replacement work,18.39,164.4,0.61,0.15,1.997627737,4.50501929
Unit 6,etc,08/20,11:30:00,12:05:00,35,0.6,OIL purifier motor external repair in stock,"OIL purifier motor installation and test run completed (rating: 8.2A, current: 4.3A)",1,10.2,9.79,0.06,24.94117647,0.758607716
Unit 6,etc,09/22,16:10:00,17:00:00,50,0.8,Jib crane S/W replaced due to damage,Normal operation after replacement of operation S/W,3.92,44.5,1.61,0.06,5.99752809,0.933807716
Unit 7,extruder,01/07,09:55:00,10:55:00,60,1,Container Cylinder V-PACKING,replacement work,1,433.8,0.23,0.35,1,4.425211677
Unit 7,extruder,02/01,02:30:00,21:45:00,1155,19.3,Billet Cutting Machine Shaft Shear,Processing and assembly after welding the sheared area,7.13,123.5,5.77,0.35,3.000566802,6.570711677
Unit 7,extruder,04/14,05:45:00,06:20:00,35,0.6,Hydraulic solenoid leak,Replacement work with spare parts due to oil leakage,0.45,181.2,0.25,0.35,1.999558499,4.232711677
Unit 7,extruder,05/09,10:00:00,10:15:00,15,0.2,Main pressure display defective,Power cut recovery operation,1.7,72.8,2.34,0.35,4.999175824,4.670211677
Unit 7,extruder,05/17,20:30:00,21:40:00,70,1.2,Leakage due to container pipe cracks,Piping adverse welding work,1.7,72.8,2.34,0.35,4.999175824,4.670211677
Unit 7,extruder,08/11,13:50:00,14:44:00,54,0.9,Dice transfer table full range fixation,Tightening of jamming phenomenon during operation due to loosening of bolts,0.74,42.9,1.72,0.35,10,4.334211677
Unit 7,extruder,08/23,06:10:00,08:00:00,110,1.8,Whoosh pile fixing bolt is broken,Bolt replacement after disassembly,0.74,42.9,1.72,0.35,10,4.334211677
Unit 7,extruder,08/23,01:52:00,02:56:00,64,1.1,Container Hydraulic Piping Crack,Welding work after piping failure,0.74,42.9,1.72,0.35,10,4.334211677
Unit 7,extruder,09/21,22:55:00,23:11:00,16,0.3,Oil leak through main shani horn crack,Replacement assembly after removing the horn,2.94,75.6,3.89,0.35,5,5.104211677
Unit 7,extruder,09/23,12:05:00,14:00:00,115,1.9,Container piping crack leak,Piping adverse welding work,2.94,75.6,3.89,0.35,5,5.104211677
Unit 7,extruder,09/23,01:30:00,02:25:00,55,0.9,Pilot pipe crack leak,pipe welding work,2.94,75.6,3.89,0.35,5,5.104211677
Unit 7,extruder,09/05,22:30:00,22:35:00,5,0.1,Automatic operation is disabled due to a mainsha abnormality alarm.,Mainsha L/S lever broken →L/S lever replaced,1.7,34.4,4.95,0.35,10.98837209,4.670211677
Unit 7,extruder,09/23,12:05:00,14:00:00,115,1.9,Container piping crack leak,Container piping crack leak welding repair,1.7,34.4,4.95,0.35,10.98837209,4.670211677
Unit 7,extruder,09/23,01:30:00,02:25:00,55,0.9,Pilot pump piping crack leak,Pilot pump piping crack oil leak welding repair,1.7,34.4,4.95,0.35,10.98837209,4.670211677
Unit 7,extruder,10/11,12:30:00,13:30:00,60,1,Sha hydraulic pipe crack leak,Sha Hydraulic Piping Crack Leakage Welding Repair,0.74,28.4,2.59,0.35,14.01408451,4.334211677
Unit 7,extruder,10/10,08:30:00,10:44:00,134,2.2,Shinyang 2 100HP compressor water inflow,Cleaning and Part Replacement,0.74,28.4,2.59,0.35,14.01408451,4.334211677
Unit 7,extruder,11/21,08:30:00,12:30:00,240,4,No extrusion pressure build up,Pressure rises after inspecting the sole and cleaning the logic valve,4,441.1,0.91,0.35,1,5.475211677
Unit 7,extruder,08/08,00:10:00,01:40:00,215,3.6,Pilot hydraulic piping hydraulic hose nipple welding,Measures taken after hydraulic hose nipple welding,7,77.6,3.89,0.35,4.99806701,6.525211677
Unit 7,extruder,08/14,01:40:00,09:20:00,460,7.7,AUX PUMP motor replacement,Pump motor wiring removal and outsourced repairs,7,77.6,3.89,0.35,4.99806701,6.525211677
Unit 7,extruder,08/15,05:18:00,07:10:00,112,1.9,container piping leak,Container seal replacement work,7,77.6,3.89,0.35,4.99806701,6.525211677
Unit 7,extruder,09/19,23:04:00,23:55:00,51,0.9,Sea ring pump pipe crack,Reinforcement welding work on crack areas,7.86,94.8,1.58,0.35,4,6.826211677
Unit 7,extruder,10/27,22:30:00,22:40:00,10,0.2,Hydraulic pump coupling wear,Coupling wear part replacement work,34.83,192.3,0.08,0.35,1.999687988,16.26571168
Unit 7,extruder,11/24,08:40:00,10:00:00,90,1.5,Loader and auxiliary loader speed error,Cylinder replacement and speed adjustment,6.3,79.8,1.4,0.35,4.999749373,6.280211677
Unit 7,extruder,11/25,18:10:00,19:40:00,90,1.5,Loader cylinder replacement work,Cylinder replacement work,6.3,79.8,1.4,0.35,4.999749373,6.280211677
Unit 7,heating furnace,02/23,13:30:00,14:50:00,80,1.3,VCS for induction heater,replacement work,7.13,123.5,5.77,0.25,3.000566802,4.693365483
Unit 7,heating furnace,03/16,10:05:00,12:08:00,123,2.1,Billet thermocouple cylinder packing,replacement work,2.1,494.4,0.42,0.25,1.000080906,3.435865483
Unit 7,heating furnace,05/04,00:25:00,03:00:00,155,2.6,Induction heater VCS S phase burnout,Replacement work with used VCS,1.7,72.8,2.34,0.25,4.999175824,3.335865483
Unit 7,heating furnace,06/08,03:20:00,06:30:00,190,3.2,Pusher cylinder rod fistula,Rod packing replacement work after disassembling the cylinder,1.73,139.4,1.24,0.25,3.000645624,3.343365483
